GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Reclamation-service,tn.esprit.microservice.reclamation.services.impl,GravityCalculationService,2,91,6,24,1,20,6,11,0,2
Reclamation-service,tn.esprit.microservice.reclamation.services.impl,JiraTicketService,227,214,25,25,37,48,20,17,3,7
Reclamation-service,tn.esprit.microservice.reclamation.services.impl,ExtractionService.ExtractedData,7,72,5,7,2,15,7,15,2,14
Reclamation-service,tn.esprit.microservice.reclamation.services.impl,ModerationService,0,64,0,6,0,18,0,6,0,3
Reclamation-service,tn.esprit.microservice.reclamation.services.impl,ReclamationResponseServiceImpl,47,82,3,3,7,23,10,5,7,5
Reclamation-service,tn.esprit.microservice.reclamation.services.impl,ReclamationServiceImpl,182,111,14,4,45,27,18,7,9,7
Reclamation-service,tn.esprit.microservice.reclamation.services.impl,AutoCategorizationService.CategorizationResult,0,19,0,0,0,6,0,6,0,6
Reclamation-service,tn.esprit.microservice.reclamation.services.impl,ExtractionService,29,222,15,22,14,53,15,14,0,5
Reclamation-service,tn.esprit.microservice.reclamation.services.impl,AutoCategorizationService.CategorizationResult.Builder,0,45,0,0,0,15,0,6,0,6
Reclamation-service,tn.esprit.microservice.reclamation.services.impl,SlaService,10,192,6,8,2,52,6,8,0,7
Reclamation-service,tn.esprit.microservice.reclamation.services.impl,AutoCategorizationService,16,479,5,17,8,47,5,12,0,4
Reclamation-service,tn.esprit.microservice.reclamation.config,AppConfig,0,7,0,0,0,2,0,2,0,2
Reclamation-service,tn.esprit.microservice.reclamation.config,WebSocketConfig,0,56,0,0,0,12,0,3,0,3
Reclamation-service,tn.esprit.microservice.reclamation.config,GlobalExceptionHandler,26,7,0,0,6,2,2,2,2,2
Reclamation-service,tn.esprit.microservice.reclamation.config,SlaConfig,5,33,3,1,3,8,3,3,0,3
Reclamation-service,tn.esprit.microservice.reclamation,MsReclamationApplication,5,3,0,0,2,1,1,1,1,1
Reclamation-service,tn.esprit.microservice.reclamation.controllers,TypingController.TypingRestController,32,3,0,0,6,1,1,1,1,1
Reclamation-service,tn.esprit.microservice.reclamation.controllers,ReclamationController,1160,3,70,0,239,1,69,1,34,1
Reclamation-service,tn.esprit.microservice.reclamation.controllers,AiSuggestionController,190,200,19,7,32,35,16,5,3,5
Reclamation-service,tn.esprit.microservice.reclamation.controllers,TypingController.TypingEvent,15,0,0,0,6,0,2,0,2,0
Reclamation-service,tn.esprit.microservice.reclamation.controllers,TypingController,67,12,4,0,14,3,4,1,2,1
Reclamation-service,tn.esprit.microservice.reclamation.controllers,TranslationController,799,7,98,0,154,2,71,2,12,2
Reclamation-service,tn.esprit.microservice.reclamation.controllers,SlaController,18,0,0,0,5,0,3,0,3,0
Reclamation-service,tn.esprit.microservice.reclamation.controllers,AdminTicketController,297,115,21,5,67,23,22,3,8,3
Reclamation-service,tn.esprit.microservice.reclamation.scheduler,ReclamationScheduler,99,22,18,0,24,6,11,2,2,2
Reclamation-service,tn.esprit.microservice.reclamation.services.interfaces,IGravityCalculationService.GravityResult,0,15,0,0,0,6,0,3,0,3
Reclamation-service,tn.esprit.microservice.reclamation.services.interfaces,IGravityCalculationService.GravityLevel,0,27,0,0,0,5,0,1,0,1
Reclamation-service,tn.esprit.microservice.reclamation.entities,ReclamationType,0,39,0,0,0,7,0,1,0,1
Reclamation-service,tn.esprit.microservice.reclamation.entities,Reclamation,21,0,4,0,7,0,4,0,2,0
Reclamation-service,tn.esprit.microservice.reclamation.entities,ReclamationStatus,0,33,0,0,0,6,0,1,0,1
